"Bit","N","SMARTS"
74,74,"[!#1][CH]([CH]([CH3])[CH3])C(=O)[OH]"
75,75,"[!#1][CH]([CH]=[CH]c1[cH][cH]c(Cl)[cH]c1Cl)C([CH3])([CH3])[CH3]"
76,76,"[!#1][CH]([CH2][CH2]C(=O)[OH])C(=O)[OH]"
77,77,"[!#1][CH]([CH2][CH2]S[CH3])C(=O)[OH]"
78,78,"[!#1][CH]([CH2][N+](=O)[O-])SC(=O)[CH3]"
79,79,"[!#1][CH]([CH2]C(=N[NH]C(=O)[!#1])[!#1])C(=O)[OH]"
80,80,"[!#1][CH]([CH2]C(=O)[!#1])C(=O)N([!#1])c1[cH][cH][cH][cH][cH]1"
81,81,"[!#1][CH]([CH2]C(=O)[!#1])C(=O)N([!#1])c1[cH][cH][cH]c([CH3])[cH]1"
82,82,"[!#1][CH]([CH2]C(=O)[!#1])C(=O)N([!#1])c1[cH][cH][cH]c(Br)[cH]1"
83,83,"[!#1][CH]([CH2]C(=O)[!#1])C(=O)N([!#1])c1[cH][cH][cH]c(Cl)[cH]1"
84,84,"[!#1][CH]([CH2]C(=O)[!#1])C(=O)N([!#1])c1[cH][cH]c([cH][cH]1)[N+](=O)[O-]"
85,85,"[!#1][CH]([CH2]C(=O)[!#1])C(=O)N([!#1])c1[cH][cH]c([cH][cH]1)C(=O)[OH]"
86,86,"[!#1][CH]([CH2]C(=O)[!#1])C(=O)N([!#1])c1[cH][cH]c(Br)[cH][cH]1"
87,87,"[!#1][CH]([CH2]C(=O)[!#1])C(=O)N([!#1])c1[cH][cH]c(Cl)[cH][cH]1"
88,88,"[!#1][CH]([CH2]C(=O)[NH2])C(=O)[OH]"
89,89,"[!#1][CH]([CH2]C(=O)[OH])[NH]C(=O)C(F)(F)F"
90,90,"[!#1][CH]([CH2]C(=O)[OH])C(=O)[OH]"
91,91,"[!#1][CH]([CH3])[CH2][CH3]"
92,92,"[!#1][CH]([CH3])[CH3]"
93,93,"[!#1][CH]([CH3])[NH]C(=O)[!#1]"
94,94,"[!#1][CH]([CH3])[NH]C(=O)[NH][CH2]C(=O)O[CH2][CH3]"
95,95,"[!#1][CH]([CH3])[NH]C(=S)[!#1]"
96,96,"[!#1][CH]([CH3])[NH]C(=S)[NH]C([!#1])([!#1])[!#1]"
97,97,"[!#1][CH]([CH3])[NH]S(=O)(=O)[!#1]"
98,98,"[!#1][CH]([CH3])C(=O)[!#1]"
99,99,"[!#1][CH]([CH3])C(=O)[OH]"
100,100,"[!#1][CH]([CH3])C(=O)O[CH2]C(=O)[!#1]"
101,101,"[!#1][CH]([CH3])c1[cH][cH][cH][cH][cH]1"
102,102,"[!#1][CH]([CH3])N([!#1])C(=O)[!#1]"
103,103,"[!#1][CH]([NH]C(=O)[!#1])[NH]C(=O)[!#1]"
104,104,"[!#1][CH]([NH]C(=O)[!#1])C(=O)[OH]"
105,105,"[!#1][CH]([NH]C(=O)[!#1])C(Br)(Br)Br"
106,106,"[!#1][CH]([NH]C(=O)[!#1])C(Cl)(Cl)Cl"
107,107,"[!#1][CH]([NH]C(=O)[CH2][CH2][CH2][CH2][CH3])C(Cl)(Cl)Cl"
108,108,"[!#1][CH]([NH]S(=O)(=O)[!#1])C(Cl)(Cl)Cl"
109,109,"[!#1][CH]([NH2])[CH2][CH3]"
110,110,"[!#1][CH]([NH2])[CH2]C(=O)[OH]"
111,111,"[!#1][CH]([NH2])C(=O)[OH]"
112,112,"[!#1][CH]([OH])[CH]([NH2])[CH2][OH]"
113,113,"[!#1][CH]([OH])[CH2][NH]C(=O)[!#1]"
114,114,"[!#1][CH]([OH])[CH2][NH2]"
115,115,"[!#1][CH]([OH])[CH2][OH]"
116,116,"[!#1][CH]([OH])C(=N[NH]C(=O)[!#1])[!#1]"
117,117,"[!#1][CH]([OH])C(Cl)(Cl)Cl"
118,118,"[!#1][CH]([OH])C(F)(F)F"
119,119,"[!#1][CH]([OH])c1[cH][cH][cH][cH][cH]1"
120,120,"[!#1][CH](C(=O)[CH3])C(=O)[CH3]"
121,121,"[!#1][CH](C(=O)O[CH2][CH3])C(=O)O[CH2][CH3]"
122,122,"[!#1][CH](C(=O)O[CH3])C(=O)O[CH3]"
123,123,"[!#1][CH](F)C(F)(F)F"
124,124,"[!#1][CH](F)OC(F)(F)F"
125,125,"[!#1][CH](OC(=O)[CH3])OC(=O)[CH3]"
126,126,"[!#1][CH]=[CH][!#1]"
127,127,"[!#1][CH]=[CH][CH]([!#1])C([CH3])([CH3])[CH3]"
128,128,"[!#1][CH]=[CH][CH]=C1SC(=S)N([!#1])C1=O"
129,129,"[!#1][CH]=[CH][CH]=N[!#1]"
130,130,"[!#1][CH]=[CH][CH]=N[NH]C(=O)[!#1]"
131,131,"[!#1][CH]=[CH]C(=N[NH]C(=O)[!#1])[!#1]"
132,132,"[!#1][CH]=[CH]C(=N[NH]C(=O)[!#1])[CH3]"
133,133,"[!#1][CH]=[CH]C(=O)[!#1]"
134,134,"[!#1][CH]=[CH]C(=O)[NH][NH]C(=O)[!#1]"
135,135,"[!#1][CH]=[CH]C(=O)[NH]C(=S)[!#1]"
136,136,"[!#1][CH]=[CH]C(=O)[OH]"
137,137,"[!#1][CH]=[CH]N([!#1])[CH3]"
138,138,"[!#1][CH]=[CH2]"
139,139,"[!#1][CH]=C([NH]C(=O)[!#1])C(=O)[!#1]"
140,140,"[!#1][CH]=C([NH]C(=O)[!#1])C(=O)[NH][CH2][CH2][CH2]N([CH3])[CH3]"
141,141,"[!#1][CH]=C(C#N)C#N"
142,142,"[!#1][CH]=C(C#N)C(=O)[NH2]"
143,143,"[!#1][CH]=C(C#N)C(=O)O[CH2][CH3]"
144,144,"[!#1][CH]=C(Cl)Cl"
145,145,"[!#1][CH]=C1[CH2]N([!#1])[CH2]C(=[CH][!#1])C1=O"
146,146,"[!#1][CH]=c1[nH]c(=O)c(=[CH][!#1])[nH]c1=O"
147,147,"[!#1][CH]=C1C(=NN(C1=O)c2[cH][cH]c([!#1])[cH][cH]2)[!#1]"
148,148,"[!#1][CH]=C1C(=O)[NH]C(=O)[NH]C1=O"
149,149,"[!#1][CH]=C1C(=O)[NH]C(=O)N([!#1])C1=O"
