"Bit","N","SMARTS"
945,945,"[!#1][NH]C(=S)[NH][CH]([NH]C(=O)[CH2][CH2][CH2][CH2][CH3])C(Cl)(Cl)Cl"
946,946,"[!#1][NH]C(=S)[NH][CH]([NH]C(=O)[CH2][CH2][CH3])C(Cl)(Cl)Cl"
947,947,"[!#1][NH]C(=S)[NH][CH]([NH]C(=O)[CH2][CH3])C(Cl)(Cl)Cl"
948,948,"[!#1][NH]C(=S)[NH][CH]([NH]C(=O)[CH2]F)C(Cl)(Cl)Cl"
949,949,"[!#1][NH]C(=S)[NH][CH]([NH]C(=O)[CH3])C(Cl)(Cl)Cl"
950,950,"[!#1][NH]C(=S)[NH][CH]([NH]C(=O)C([CH3])([CH3])[CH3])C(Cl)(Cl)Cl"
951,951,"[!#1][NH]C(=S)[NH][CH](N=C([!#1])O[CH3])C(Cl)(Cl)Cl"
952,952,"[!#1][NH]C(=S)[NH]C(=C(C(F)(F)F)C(F)(F)F)C(F)(F)C(F)(F)F"
953,953,"[!#1][NH]C(=S)[NH]C(=N[CH2]S(=O)(=O)[!#1])[!#1]"
954,954,"[!#1][NH]C(=S)[NH]C(=O)[!#1]"
955,955,"[!#1][NH]C(=S)[NH]C(=O)[CH]=[CH][!#1]"
956,956,"[!#1][NH]C(=S)[NH]C(=O)[CH]=[CH]c1[cH][cH][cH][cH][cH]1"
957,957,"[!#1][NH]C(=S)[NH]C(=O)[CH]=[CH]c1[cH][cH][cH]o1"
958,958,"[!#1][NH]C(=S)[NH]C(=O)[CH]=[CH]c1[cH][cH]c(F)[cH][cH]1"
959,959,"[!#1][NH]C(=S)[NH]C(=O)[CH]=[CH]c1[cH][cH]c(O[CH3])c(O[CH3])[cH]1"
960,960,"[!#1][NH]C(=S)[NH]c1[cH][cH]c([cH][cH]1)S(=O)(=O)[!#1]"
961,961,"[!#1][NH]C(=S)[NH]N=[CH][!#1]"
962,962,"[!#1][NH]C(=S)[NH]N=C([!#1])[CH3]"
963,963,"[!#1][NH]C(=S)[NH2]"
964,964,"[!#1][NH]C(=S)O[CH2][CH2][CH3]"
965,965,"[!#1][NH]C(=S)SC([!#1])([!#1])C(=O)[!#1]"
966,966,"[!#1][NH]C1([CH2][CH]2[CH2][CH]3[CH2][CH]([CH2]2)[CH2]1)[CH2]3"
967,967,"[!#1][NH]C1([CH2][CH2][CH2][CH2][CH2]1)C(=O)[!#1]"
968,968,"[!#1][NH]C1([CH2][CH2][CH2][CH2][CH2]1)c2nnnn2[!#1]"
969,969,"[!#1][NH]C1([CH2][CH2][CH2][CH2]1)C(=O)[!#1]"
970,970,"[!#1][NH]C1([CH3])C(=O)c2[cH][cH][cH][cH]c2C1=O"
971,971,"[!#1][NH]C1(C(=O)c2[cH][cH][cH][cH]c2C1=O)c3[cH][cH][cH][cH][cH]3"
972,972,"[!#1][NH]c1[cH][cH][cH][cH][cH]1"
973,973,"[!#1][NH]c1[cH][cH][cH][cH]c1[!#1]"
974,974,"[!#1][NH]c1[cH][cH][cH][cH]c1[CH2][CH3]"
975,975,"[!#1][NH]c1[cH][cH][cH][cH]c1[CH3]"
976,976,"[!#1][NH]c1[cH][cH][cH][cH]c1[N+](=O)[O-]"
977,977,"[!#1][NH]c1[cH][cH][cH][cH]c1[NH][!#1]"
978,978,"[!#1][NH]c1[cH][cH][cH][cH]c1[OH]"
979,979,"[!#1][NH]c1[cH][cH][cH][cH]c1Br"
980,980,"[!#1][NH]c1[cH][cH][cH][cH]c1C([!#1])([!#1])C(=O)[!#1]"
981,981,"[!#1][NH]c1[cH][cH][cH][cH]c1C([OH])([CH2]C(=N[NH]C(=O)[CH2]O[!#1])[CH3])C(=O)[!#1]"
982,982,"[!#1][NH]c1[cH][cH][cH][cH]c1C(=N[!#1])C(=O)[!#1]"
983,983,"[!#1][NH]c1[cH][cH][cH][cH]c1C(=O)[!#1]"
984,984,"[!#1][NH]c1[cH][cH][cH][cH]c1C(=O)[OH]"
985,985,"[!#1][NH]c1[cH][cH][cH][cH]c1C(F)(F)F"
986,986,"[!#1][NH]c1[cH][cH][cH][cH]c1Cl"
987,987,"[!#1][NH]c1[cH][cH][cH][cH]c1F"
988,988,"[!#1][NH]c1[cH][cH][cH][cH]c1I"
989,989,"[!#1][NH]c1[cH][cH][cH][cH]c1O[!#1]"
990,990,"[!#1][NH]c1[cH][cH][cH][cH]c1S[CH]([CH2]C(=O)[!#1])C(=O)[!#1]"
991,991,"[!#1][NH]c1[cH][cH][cH][cH]n1"
992,992,"[!#1][NH]c1[cH][cH][cH]c([!#1])[cH]1"
993,993,"[!#1][NH]c1[cH][cH][cH]c([cH]1)[CH]([!#1])[!#1]"
994,994,"[!#1][NH]c1[cH][cH][cH]c([cH]1)[N+](=O)[O-]"
995,995,"[!#1][NH]c1[cH][cH][cH]c([cH]1)C(=O)[!#1]"
996,996,"[!#1][NH]c1[cH][cH][cH]c([cH]1)C(=O)[CH3]"
997,997,"[!#1][NH]c1[cH][cH][cH]c([cH]1)C(=O)[OH]"
998,998,"[!#1][NH]c1[cH][cH][cH]c([cH]1)C(F)(F)F"
999,999,"[!#1][NH]c1[cH][cH][cH]c([CH3])[cH]1"
1000,1000,"[!#1][NH]c1[cH][cH][cH]c([CH3])c1[CH3]"
1001,1001,"[!#1][NH]c1[cH][cH][cH]c([NH][!#1])[cH]1"
1002,1002,"[!#1][NH]c1[cH][cH][cH]c([OH])[cH]1"
1003,1003,"[!#1][NH]c1[cH][cH][cH]c(Br)[cH]1"
1004,1004,"[!#1][NH]c1[cH][cH][cH]c(Cl)[cH]1"
1005,1005,"[!#1][NH]c1[cH][cH][cH]c(Cl)c1[CH3]"
1006,1006,"[!#1][NH]c1[cH][cH][cH]c(Cl)c1Cl"
1007,1007,"[!#1][NH]c1[cH][cH][cH]c(F)[cH]1"
1008,1008,"[!#1][NH]c1[cH][cH][cH]c(O[!#1])[cH]1"
1009,1009,"[!#1][NH]c1[cH][cH][cH]c2[cH][cH][cH][cH]c12"
1010,1010,"[!#1][NH]c1[cH][cH][cH]c2[cH][cH][cH]nc12"
1011,1011,"[!#1][NH]c1[cH][cH][cH]c2c([NH][!#1])[cH][cH][cH]c12"
1012,1012,"[!#1][NH]c1[cH][cH][cH]c2C(=O)c3[cH][cH][cH][cH]c3C(=O)c12"
1013,1013,"[!#1][NH]c1[cH][cH]c([!#1])[cH][cH]1"
1014,1014,"[!#1][NH]c1[cH][cH]c([!#1])[cH]c1[CH3]"
1015,1015,"[!#1][NH]c1[cH][cH]c([!#1])[cH]c1[N+](=O)[O-]"
1016,1016,"[!#1][NH]c1[cH][cH]c([!#1])c([cH]1)S(=O)(=O)c2[cH]c([NH][!#1])[cH][cH]c2[!#1]"
1017,1017,"[!#1][NH]c1[cH][cH]c([CH]([!#1])[!#1])c([cH]1)S(=O)(=O)[OH]"
1018,1018,"[!#1][NH]c1[cH][cH]c([cH][cH]1)[CH]([!#1])[!#1]"
1019,1019,"[!#1][NH]c1[cH][cH]c([cH][cH]1)[CH]([CH3])[CH3]"
1020,1020,"[!#1][NH]c1[cH][cH]c([cH][cH]1)[N+](=O)[O-]"
1021,1021,"[!#1][NH]c1[cH][cH]c([cH][cH]1)C(=O)[!#1]"
1022,1022,"[!#1][NH]c1[cH][cH]c([cH][cH]1)C(=O)[CH3]"
1023,1023,"[!#1][NH]c1[cH][cH]c([cH][cH]1)C(=O)[OH]"
1024,1024,"[!#1][NH]c1[cH][cH]c([cH][cH]1)S(=O)(=O)[!#1]"
1025,1025,"[!#1][NH]c1[cH][cH]c([cH]c1[N+](=O)[O-])[N+](=O)[O-]"
1026,1026,"[!#1][NH]c1[cH][cH]c([cH]c1[N+](=O)[O-])C(=O)[OH]"
1027,1027,"[!#1][NH]c1[cH][cH]c([cH]c1C(=N[NH]C(=O)[CH2]O[!#1])C(=O)[!#1])[N+](=O)[O-]"
1028,1028,"[!#1][NH]c1[cH][cH]c([CH2][CH2]c2[cH][cH][cH][cH]c2[!#1])c([NH][!#1])[cH]1"
1029,1029,"[!#1][NH]c1[cH][cH]c([CH2]c2[cH][cH]c([NH][!#1])[cH][cH]2)[cH][cH]1"
1030,1030,"[!#1][NH]c1[cH][cH]c([CH3])[cH][cH]1"
1031,1031,"[!#1][NH]c1[cH][cH]c([CH3])[cH]c1[CH3]"
1032,1032,"[!#1][NH]c1[cH][cH]c([CH3])[cH]c1[N+](=O)[O-]"
1033,1033,"[!#1][NH]c1[cH][cH]c([CH3])c([cH]1)[N+](=O)[O-]"
1034,1034,"[!#1][NH]c1[cH][cH]c([CH3])c([CH3])[cH]1"
1035,1035,"[!#1][NH]c1[cH][cH]c([CH3])c([NH][!#1])[cH]1"
1036,1036,"[!#1][NH]c1[cH][cH]c([N+](=O)[O-])c2nonc12"
1037,1037,"[!#1][NH]c1[cH][cH]c([NH][!#1])[cH][cH]1"
1038,1038,"[!#1][NH]c1[cH][cH]c([OH])[cH][cH]1"
1039,1039,"[!#1][NH]c1[cH][cH]c(Br)[cH][cH]1"
1040,1040,"[!#1][NH]c1[cH][cH]c(Br)[cH]c1C(=O)[!#1]"
1041,1041,"[!#1][NH]c1[cH][cH]c(Br)[cH]n1"
1042,1042,"[!#1][NH]c1[cH][cH]c(Cl)[cH][cH]1"
1043,1043,"[!#1][NH]c1[cH][cH]c(Cl)[cH]c1[N+](=O)[O-]"
1044,1044,"[!#1][NH]c1[cH][cH]c(Cl)[cH]c1C(=O)[!#1]"
1045,1045,"[!#1][NH]c1[cH][cH]c(Cl)[cH]c1Cl"
1046,1046,"[!#1][NH]c1[cH][cH]c(Cl)[cH]n1"
1047,1047,"[!#1][NH]c1[cH][cH]c(Cl)c([cH]1)[N+](=O)[O-]"
1048,1048,"[!#1][NH]c1[cH][cH]c(Cl)c(Cl)[cH]1"
1049,1049,"[!#1][NH]c1[cH][cH]c(F)[cH][cH]1"
1050,1050,"[!#1][NH]c1[cH][cH]c(F)c(Cl)[cH]1"
1051,1051,"[!#1][NH]c1[cH][cH]c(I)[cH][cH]1"
1052,1052,"[!#1][NH]c1[cH][cH]c(N([!#1])[CH2][CH3])c2c([cH][cH][cH]c12)C(=O)[!#1]"
1053,1053,"[!#1][NH]c1[cH][cH]c(N=Nc2[cH][cH][cH][cH][cH]2)[cH][cH]1"
1054,1054,"[!#1][NH]c1[cH][cH]c(N=Nc2[cH][cH][cH][cH]c2[CH3])[cH]c1[CH3]"
1055,1055,"[!#1][NH]c1[cH][cH]c(O[!#1])[cH][cH]1"
1056,1056,"[!#1][NH]c1[cH][cH]c(O[!#1])[cH]c1[N+](=O)[O-]"
1057,1057,"[!#1][NH]c1[cH][cH]c(O[CH3])nn1"
1058,1058,"[!#1][NH]c1[cH][cH]c2[cH][cH][cH][cH]c2[cH]1"
1059,1059,"[!#1][NH]c1[cH][cH]c2[cH][cH][cH]c([OH])c2n1"
1060,1060,"[!#1][NH]c1[cH][cH]c2[CH2][CH2]c3[cH][cH][cH][cH]c3N([!#1])c2[cH]1"
1061,1061,"[!#1][NH]c1[cH][cH]c2c([cH]1)oc3[cH][cH][cH][cH]c32"
1062,1062,"[!#1][NH]c1[cH][cH]c2nc([!#1])[nH]c2[cH]1"
1063,1063,"[!#1][NH]c1[cH][cH]c2nonc2c1[N+](=O)[O-]"
1064,1064,"[!#1][NH]c1[cH][cH]c2O[CH2]Oc2[cH]1"
1065,1065,"[!#1][NH]c1[cH][cH]c2oc([!#1])nc2[cH]1"
1066,1066,"[!#1][NH]c1[cH][cH]n[cH][cH]1"
1067,1067,"[!#1][NH]c1[cH][cH]nc2[cH]c3[cH][cH][cH][cH]c3[cH]c12"
1068,1068,"[!#1][NH]c1[cH]c([!#1])nc2[cH][cH][cH][cH]c12"
1069,1069,"[!#1][NH]c1[cH]c([cH][cH]c1[CH3])[N+](=O)[O-]"
1070,1070,"[!#1][NH]c1[cH]c([cH][cH]c1C(=O)[OH])[N+](=O)[O-]"
1071,1071,"[!#1][NH]c1[cH]c([cH][cH]c1Cl)C(F)(F)F"
1072,1072,"[!#1][NH]c1[cH]c([cH]c([cH]1)[N+](=O)[O-])C(=O)[OH]"
1073,1073,"[!#1][NH]c1[cH]c([cH]c([cH]1)C(=O)[OH])C(=O)[OH]"
1074,1074,"[!#1][NH]c1[cH]c([CH3])[cH][cH]c1[CH3]"
1075,1075,"[!#1][NH]c1[cH]c([CH3])[cH][cH]n1"
1076,1076,"[!#1][NH]c1[cH]c([CH3])[cH]c([CH3])[cH]1"
1077,1077,"[!#1][NH]c1[cH]c([CH3])nc2[cH][cH][cH][cH]c12"
1078,1078,"[!#1][NH]c1[cH]c(Cl)[cH][cH]c1Cl"
1079,1079,"[!#1][NH]c1[cH]c(Cl)[cH][cH]c1O[!#1]"
1080,1080,"[!#1][NH]c1[cH]c(O[!#1])c(O[!#1])[cH]c1C(=O)[!#1]"
1081,1081,"[!#1][NH]c1[cH]c(O[CH3])nc(O[CH3])n1"
1082,1082,"[!#1][NH]c1[cH]nc2[cH][cH][cH][cH]c2[cH]1"
1083,1083,"[!#1][NH]c1[nH]nc([CH3])c1[N+](=O)[O-]"
1084,1084,"[!#1][NH]C1=[CH]C(=O)c2[cH][cH][cH][cH]c2C1=O"
1085,1085,"[!#1][NH]c1c([cH][cH]c2nonc12)[N+](=O)[O-]"
1086,1086,"[!#1][NH]c1c([cH]c([cH]c1[N+](=O)[O-])[N+](=O)[O-])C(=O)[OH]"
1087,1087,"[!#1][NH]c1c([cH]c([cH]c1[N+](=O)[O-])C(=O)[OH])[N+](=O)[O-]"
1088,1088,"[!#1][NH]c1c([cH]c([N+](=O)[O-])c2[cH][cH][cH][cH]c12)[N+](=O)[O-]"
1089,1089,"[!#1][NH]c1c([CH3])[cH][cH][cH]c1[CH3]"
1090,1090,"[!#1][NH]c1c([CH3])[cH]c([CH3])[cH]c1[CH3]"
1091,1091,"[!#1][NH]c1c([CH3])c([CH2][CH3])nc2[cH][cH][cH][cH]c12"
1092,1092,"[!#1][NH]c1c([CH3])n([!#1])n([!#1])c1=O"
1093,1093,"[!#1][NH]c1c([N+](=O)[O-])c(=O)oc2[cH][cH][cH][cH]c12"
1094,1094,"[!#1][NH]c1c2[cH][cH][cH][cH]c2nc3[cH][cH][cH][cH]c13"
1095,1095,"[!#1][NH]c1c2[CH2][CH2][CH2]c2nc3[cH][cH][cH][cH]c13"
1096,1096,"[!#1][NH]c1c2[CH2][CH2][CH2]c2nc3[CH2][CH2][CH2][CH2]c13"
1097,1097,"[!#1][NH]c1n[cH][cH][cH]n1"
1098,1098,"[!#1][NH]c1n[cH][cH]nc1O[CH3]"
1099,1099,"[!#1][NH]c1n[cH][cH]s1"
1100,1100,"[!#1][NH]c1n[cH][nH]n1"
1101,1101,"[!#1][NH]c1n[cH]nc2n([!#1])[cH]nc12"
1102,1102,"[!#1][NH]c1n[cH]nc2sc3[CH2][CH2][CH2][CH2]c3c12"
1103,1103,"[!#1][NH]c1n[nH]c(=O)[nH]c1=O"
1104,1104,"[!#1][NH]c1nc([!#1])[cH]s1"
1105,1105,"[!#1][NH]c1nc([!#1])nc([!#1])n1"
1106,1106,"[!#1][NH]c1nc([!#1])nc(Cl)n1"
1107,1107,"[!#1][NH]c1nc([!#1])nc(n1)N2[CH2][CH2]O[CH2][CH2]2"
1108,1108,"[!#1][NH]c1nc([!#1])nc(O[CH](C(F)(F)F)C(F)(F)F)n1"
1109,1109,"[!#1][NH]c1nc([cH]s1)c2[cH][cH][cH][cH][cH]2"
1110,1110,"[!#1][NH]c1nc([cH]s1)c2[cH][cH]c([!#1])[cH][cH]2"
1111,1111,"[!#1][NH]c1nc([CH3])[cH]c([CH3])n1"
1112,1112,"[!#1][NH]c1nc(Cl)nc(Cl)n1"
1113,1113,"[!#1][NH]c1nc(O[CH](C(F)(F)F)C(F)(F)F)nc(O[CH](C(F)(F)F)C(F)(F)F)n1"
1114,1114,"[!#1][NH]c1nc2[cH][cH][cH][cH]c2n1[!#1]"
1115,1115,"[!#1][NH]c1nc2[cH][cH][cH][cH]c2nc1[!#1]"
1116,1116,"[!#1][NH]c1nc2[cH][cH][cH][cH]c2nc1[NH][!#1]"
1117,1117,"[!#1][NH]c1nc2[cH][cH][cH][cH]c2s1"
1118,1118,"[!#1][NH]c1nc2[CH2][CH2][CH2][CH2]c2s1"
1119,1119,"[!#1][NH]c1nc2nonc2nc1[!#1]"
1120,1120,"[!#1][NH]c1nnc([CH2][CH3])s1"
1121,1121,"[!#1][NH]c1nnc([CH3])s1"
1122,1122,"[!#1][NH]c1sc([CH3])c([CH3])c1C(=O)[!#1]"
1123,1123,"[!#1][NH]c1sc2[CH2][CH2][CH2][CH2]c2c1C(=O)[!#1]"
1124,1124,"[!#1][NH]N([!#1])[!#1]"
1125,1125,"[!#1][NH]N=[CH][!#1]"
1126,1126,"[!#1][NH]N=C([!#1])[!#1]"
1127,1127,"[!#1][NH]N=C([!#1])[CH3]"
1128,1128,"[!#1][NH]N=C([!#1])N=N[!#1]"
1129,1129,"[!#1][NH]N=C1C(=N[NH]C1=O)[!#1]"
1130,1130,"[!#1][NH]N=C1C(=NN(C1=O)c2[cH][cH][cH][cH][cH]2)[!#1]"
1131,1131,"[!#1][NH]N=C1C(=NN(C1=O)c2nc([cH]s2)c3[cH][cH][cH][cH][cH]3)[!#1]"
1132,1132,"[!#1][NH]N=C1C(=O)[NH]C(=O)[NH]C1=O"
1133,1133,"[!#1][NH]N=C1C(=O)[NH]C(=S)[NH]C1=O"
1134,1134,"[!#1][NH]N=N[!#1]"
1135,1135,"[!#1][NH]n1[cH]nn[cH]1"
1136,1136,"[!#1][NH]P(=O)(O[CH]([CH3])[CH3])O[CH]([CH3])[CH3]"
1137,1137,"[!#1][NH]P(=O)(O[CH2][CH]([CH3])[CH3])O[CH2][CH]([CH3])[CH3]"
1138,1138,"[!#1][NH]P(=O)(O[CH2][CH3])O[CH2][CH3]"
1139,1139,"[!#1][NH]S(=O)(=O)[!#1]"
1140,1140,"[!#1][NH]S(=O)(=O)[CH2][CH]=[CH2]"
1141,1141,"[!#1][NH]S(=O)(=O)[CH3]"
1142,1142,"[!#1][NH]S(=O)(=O)[NH]C([CH3])([CH3])[CH3]"
1143,1143,"[!#1][NH]S(=O)(=O)[NH]C(=O)N([!#1])[CH3]"
1144,1144,"[!#1][NH]S(=O)[!#1]"
1145,1145,"[!#1][NH]S[!#1]"
1146,1146,"[!#1][NH2]"
1147,1147,"[!#1][O-]"
1148,1148,"[!#1][OH]"
1149,1149,"[!#1][SH]"
1150,1150,"[!#1]Br"
1151,1151,"[!#1]C#C[!#1]"
1152,1152,"[!#1]C#CC([CH3])([CH3])[OH]"
1153,1153,"[!#1]C#N"
1154,1154,"[!#1]C([!#1])([!#1])[!#1]"
1155,1155,"[!#1]C([!#1])([!#1])[CH2][CH3]"
1156,1156,"[!#1]C([!#1])([!#1])[CH3]"
1157,1157,"[!#1]C([!#1])([!#1])[OH]"
1158,1158,"[!#1]C([!#1])([!#1])c1[cH][cH][cH][cH][cH]1"
1159,1159,"[!#1]C([!#1])([CH3])[CH2][CH3]"
1160,1160,"[!#1]C([!#1])([CH3])[CH3]"
1161,1161,"[!#1]C([!#1])([CH3])[OH]"
1162,1162,"[!#1]C([!#1])([OH])c1[cH][cH][cH][cH][cH]1"
1163,1163,"[!#1]C([!#1])(C#N)C#N"
1164,1164,"[!#1]C([!#1])(Cl)C([!#1])([!#1])[N+](=O)[O-]"
1165,1165,"[!#1]C([!#1])(Cl)Cl"
1166,1166,"[!#1]C([CH3])([CH3])[CH2][CH]([CH3])[OH]"
1167,1167,"[!#1]C([CH3])([CH3])[CH2][CH]([CH3])OC(=O)C([CH3])([CH3])[CH3]"
1168,1168,"[!#1]C([CH3])([CH3])[CH2][CH]=C([CH3])[CH2][CH2][CH]=C([CH3])[CH3]"
1169,1169,"[!#1]C([CH3])([CH3])[CH2][CH3]"
1170,1170,"[!#1]C([CH3])([CH3])[CH2][OH]"
1171,1171,"[!#1]C([CH3])([CH3])[CH2]C([CH3])([CH3])[CH3]"
1172,1172,"[!#1]C([CH3])([CH3])[CH2]N([CH3])[CH3]"
1173,1173,"[!#1]C([CH3])([CH3])[CH3]"
1174,1174,"[!#1]C([OH])([CH2][CH]=[CH2])[CH2][CH]=[CH2]"
1175,1175,"[!#1]C([OH])(C(=O)O[CH2][CH3])C(F)(F)F"
1176,1176,"[!#1]C([OH])(C(=O)O[CH3])C(F)(F)F"
1177,1177,"[!#1]C([OH])(C(F)(F)F)C(F)(F)F"
1178,1178,"[!#1]C(=[CH]C(=O)[CH3])[CH3]"
1179,1179,"[!#1]C(=[CH]C(=O)O[CH2][CH3])[CH3]"
1180,1180,"[!#1]C(=N[NH]C(=O)[!#1])[!#1]"
1181,1181,"[!#1]C(=N[NH]C(=O)[!#1])[CH3]"
1182,1182,"[!#1]C(=N[NH]C(=O)[NH2])[CH3]"
1183,1183,"[!#1]C(=N[NH]S(=O)(=O)[!#1])[CH3]"
1184,1184,"[!#1]C(=N[OH])[!#1]"
1185,1185,"[!#1]C(=N[OH])[CH2][CH]([CH3])[CH3]"
1186,1186,"[!#1]C(=N[OH])[CH2][CH3]"
1187,1187,"[!#1]C(=N[OH])[CH3]"
1188,1188,"[!#1]C(=N[OH])N([CH2][CH3])[CH2][CH3]"
1189,1189,"[!#1]C(=NN=C([!#1])[CH3])[CH3]"
1190,1190,"[!#1]C(=NO[CH2][CH3])[CH2][CH2][CH3]"
1191,1191,"[!#1]C(=NO[CH2]ON=C([!#1])[CH3])[CH3]"
1192,1192,"[!#1]C(=NOC(=O)[!#1])[CH3]"
1193,1193,"[!#1]C(=O)[!#1]"
1194,1194,"[!#1]C(=O)[CH]([CH]1[CH2][CH2][CH2][CH2][CH2]1)C(=O)[!#1]"
1195,1195,"[!#1]C(=O)[CH]([CH3])[CH3]"
1196,1196,"[!#1]C(=O)[CH]([CH3])c1[cH][cH]c([CH2][CH]([CH3])[CH3])[cH][cH]1"
1197,1197,"[!#1]C(=O)[CH]([CH3])N([CH3])[CH3]"
1198,1198,"[!#1]C(=O)[CH](c1[cH][cH][cH][cH][cH]1)c2[cH][cH][cH][cH][cH]2"
1199,1199,"[!#1]C(=O)[CH](F)F"
1200,1200,"[!#1]C(=O)[CH]1[CH]([CH]2c3[cH][cH][cH][cH]c3[CH]1c4[cH][cH][cH][cH]c24)C(=O)[OH]"
1201,1201,"[!#1]C(=O)[CH]1[CH]2[CH2][CH2][CH2][CH2][CH]12"
1202,1202,"[!#1]C(=O)[CH]1[CH2][CH]1c2[cH][cH][cH][cH][cH]2"
1203,1203,"[!#1]C(=O)[CH]1[CH2][CH2][CH2][CH2][CH2]1"
1204,1204,"[!#1]C(=O)[CH]1[CH2][CH2]1"
1205,1205,"[!#1]C(=O)[CH]1[CH2][CH2]C([CH3])(C(=O)[OH])C1([CH3])[CH3]"
1206,1206,"[!#1]C(=O)[CH]1[CH2]C1([CH3])[CH3]"
1207,1207,"[!#1]C(=O)[CH]1[CH2]C1(c2[cH][cH][cH][cH][cH]2)c3[cH][cH][cH][cH][cH]3"
1208,1208,"[!#1]C(=O)[CH]1[CH2]C1(c2[cH][cH]c([CH3])[cH][cH]2)c3[cH][cH]c([CH3])[cH][cH]3"
1209,1209,"[!#1]C(=O)[CH]1[CH2]C21[CH2][CH2][CH2]2"
1210,1210,"[!#1]C(=O)[CH]1C(=O)C([!#1])([!#1])C(=O)[CH2]C1([CH3])[CH3]"
1211,1211,"[!#1]C(=O)[CH2][CH]([CH3])[CH2]C(=O)[!#1]"
1212,1212,"[!#1]C(=O)[CH2][CH]([CH3])[CH3]"
1213,1213,"[!#1]C(=O)[CH2][CH]([NH2])C(Cl)(Cl)Cl"
1214,1214,"[!#1]C(=O)[CH2][CH2][CH2][CH2][CH2][CH2][CH2][CH2]C(=O)[!#1]"
1215,1215,"[!#1]C(=O)[CH2][CH2][CH2][CH2][CH2][CH2][CH3]"
1216,1216,"[!#1]C(=O)[CH2][CH2][CH2][CH2][CH2][CH2]C(=O)[!#1]"
1217,1217,"[!#1]C(=O)[CH2][CH2][CH2][CH2][CH2][CH3]"
1218,1218,"[!#1]C(=O)[CH2][CH2][CH2][CH2][CH3]"
1219,1219,"[!#1]C(=O)[CH2][CH2][CH2][CH2]C(=O)[!#1]"
1220,1220,"[!#1]C(=O)[CH2][CH2][CH2][CH2]C(=O)[OH]"
1221,1221,"[!#1]C(=O)[CH2][CH2][CH2][CH3]"
1222,1222,"[!#1]C(=O)[CH2][CH2][CH2]C(=O)[!#1]"
1223,1223,"[!#1]C(=O)[CH2][CH2][CH2]C(=O)[OH]"
1224,1224,"[!#1]C(=O)[CH2][CH2][CH2]c1[cH][cH][cH][cH][cH]1"
1225,1225,"[!#1]C(=O)[CH2][CH2][CH3]"
1226,1226,"[!#1]C(=O)[CH2][CH2]Br"
1227,1227,"[!#1]C(=O)[CH2][CH2]C([CH3])([CH3])C(=O)[!#1]"
1228,1228,"[!#1]C(=O)[CH2][CH2]C(=O)[!#1]"
1229,1229,"[!#1]C(=O)[CH2][CH2]C(=O)[OH]"
1230,1230,"[!#1]C(=O)[CH2][CH2]C(=O)O[CH2]C(=O)[!#1]"
1231,1231,"[!#1]C(=O)[CH2][CH2]C(=O)O[CH3]"
1232,1232,"[!#1]C(=O)[CH2][CH2]c1[cH][cH][cH][cH][cH]1"
1233,1233,"[!#1]C(=O)[CH2][CH2]c1[cH][cH]c([CH3])o1"
1234,1234,"[!#1]C(=O)[CH2][CH2]N([CH2][CH3])[CH2][CH3]"
1235,1235,"[!#1]C(=O)[CH2][CH2]N([CH3])[CH3]"
1236,1236,"[!#1]C(=O)[CH2][CH3]"
1237,1237,"[!#1]C(=O)[CH2][NH][CH2][CH2][OH]"
1238,1238,"[!#1]C(=O)[CH2][NH][CH2][CH3]"
1239,1239,"[!#1]C(=O)[CH2][NH]C([CH3])([CH3])[CH3]"
1240,1240,"[!#1]C(=O)[CH2][NH]C(=O)[!#1]"
1241,1241,"[!#1]C(=O)[CH2][NH2]"
1242,1242,"[!#1]C(=O)[CH2]C([!#1])([OH])C(F)(F)[CH](F)F"
1243,1243,"[!#1]C(=O)[CH2]C([!#1])([OH])C(F)(F)F"
1244,1244,"[!#1]C(=O)[CH2]C(=N[NH]c1[cH][cH][cH][cH][cH]1)[CH3]"
1245,1245,"[!#1]C(=O)[CH2]C(=O)[!#1]"
1246,1246,"[!#1]C(=O)[CH2]C(=O)[CH3]"
1247,1247,"[!#1]C(=O)[CH2]C(=O)O[CH2][CH3]"
1248,1248,"[!#1]C(=O)[CH2]C1([CH2][CH]2[CH2][CH]3[CH2][CH]([CH2]2)[CH2]1)[CH2]3"
1249,1249,"[!#1]C(=O)[CH2]C1(C(=O)c2[cH][cH][cH][cH]c2C1=O)c3[cH][cH][cH][cH][cH]3"
1250,1250,"[!#1]C(=O)[CH2]c1[cH][cH][cH][cH][cH]1"
1251,1251,"[!#1]C(=O)[CH2]c1[cH][cH][cH]c2[cH][cH][cH][cH]c12"
1252,1252,"[!#1]C(=O)[CH2]Cl"
1253,1253,"[!#1]C(=O)[CH2]F"
1254,1254,"[!#1]C(=O)[CH2]N([CH2][CH3])[CH2][CH3]"
1255,1255,"[!#1]C(=O)[CH2]N([CH3])[CH3]"
1256,1256,"[!#1]C(=O)[CH2]OC(=O)[!#1]"
1257,1257,"[!#1]C(=O)[CH2]OC(=O)[CH2][CH2][CH2][CH3]"
1258,1258,"[!#1]C(=O)[CH2]OC(=O)[CH2][CH2]C(=O)C(=O)O[CH2]C(=O)[!#1]"
1259,1259,"[!#1]C(=O)[CH2]OC(=O)[CH2][CH2]S(=O)(=O)[!#1]"
1260,1260,"[!#1]C(=O)[CH2]OC(=O)C(=O)O[CH2]C(=O)[!#1]"
